created_at,description,favourites_count,followers_count,friends_count,id,listed_count,location,name,profile_image_url,relationship,screen_name,source,statuses_count,url
Tue Jul 03 16:21:08 +0000 2012,"Official twitter page of Nepal's leading English daily! Follow us for the latest news, views and reviews. https://t.co/ZeK5qnJ5Rn",44,304589,103,625760052,556,Kathmandu,The Kathmandu Post,http://pbs.twimg.com/profile_images/665467018028711936/0xZ68kA9_normal.jpg,friend,kathmandupost,Asia_Foundation,48898,http://t.co/83LrI7hUfU
Sun Aug 14 11:33:00 +0000 2011,Official twitter feed for http://t.co/xMsIwusoRy - English news portal of Nepal Republic Media (Pvt.) Ltd. a leading media house.,13,214302,75,354838265,506,"Kathmandu, Nepal",myRepública,http://pbs.twimg.com/profile_images/481276631290368000/7ZmMumpd_normal.png,friend,RepublicaNepal,Asia_Foundation,112427,http://t.co/xMsIwusoRy
Fri Dec 09 13:28:08 +0000 2011,"TechCamp is a Public Diplomacy initiative, hosted in the bureau of @IIPState at the @StateDept",252,1464,287,432504135,59,NA,TechCamp,http://pbs.twimg.com/profile_images/862211858027077632/pFqMvizC_normal.jpg,friend,TechCampGlobal,Asia_Foundation,2123,
Mon Dec 08 18:31:11 +0000 2008,"Reporting for @devex on #development out of the @UN and #NYC. Former freelancer with eye on impact - #health, #climate, #politics. #cuj14.",250,708,583,17968717,46,"New York City, USA",Amy Lieberman,http://pbs.twimg.com/profile_images/739585427917680641/1RcYUh_y_normal.jpg,friend,amylieberman,Asia_Foundation,614,
Wed May 14 02:32:31 +0000 2008,"The UC San Diego School of Global Policy and Strategy is a community dedicated to the advancement of knowledge through teaching, research and engagement.",2074,1945,808,14768168,140,"San Diego, CA",GPS UC San Diego,http://pbs.twimg.com/profile_images/598133244530282497/V1XuOYzj_normal.jpg,friend,GPS_UCSD,Asia_Foundation,8068,https://t.co/dMoyquxfqx
Thu Sep 12 07:04:56 +0000 2013,@UNinIndia is the official twitter account for the United Nations in India.,1079,61889,1123,1856588299,299,"New Delhi, India",United Nations India,http://pbs.twimg.com/profile_images/539094662468755457/v94nKWM9_normal.png,friend,UNinIndia,Asia_Foundation,4449,https://t.co/belHBUrMUK
Fri Jun 14 22:19:45 +0000 2013,"Principal Research Fellow / Head of IEDG @ODIdev ; Director of @EconTransform, Research Leader @degrp_growth",212,1018,320,1517760493,57,London,Dirk Willem te Velde,http://pbs.twimg.com/profile_images/344513261579384915/e1a88fc4afd5a639737bcd8917260e6d_normal.jpeg,friend,DWteVelde,Asia_Foundation,2698,http://t.co/G0GWux05hb
Wed Sep 05 15:54:32 +0000 2012,"We believe women are drivers of economic & social growth. We create research, tools & trainings to ensure more women are included in value chains & enterprise",681,818,729,804875257,38,United Kingdom,Value for Women,http://pbs.twimg.com/profile_images/831658880950079488/05QVH50j_normal.jpg,friend,ValueforWomen,Asia_Foundation,994,http://t.co/qJph5WyFtc
Fri Feb 01 14:51:45 +0000 2013,"Fellow, Brookings Institution & Harvard Law School. Senior Visiting Fellow, Centre for Int'l Law. Southeast Asia and Asia Pacific politics, law & security.",186,714,550,1139889444,29,"Washington, DC",Lynn Kuok,http://pbs.twimg.com/profile_images/646376982373117956/5q1A7si9_normal.jpg,friend,LynnKuok,Asia_Foundation,718,https://t.co/aen6JIBvMc
Mon Nov 24 09:32:30 +0000 2014,MEDA's Women's Economic Opportunities team is showing that women can rise above the social and cultural barriers that stand in the way of their economic success,279,410,490,2890500275,32,Canada,MEDA Women,http://pbs.twimg.com/profile_images/563758646769639425/oSkGhewf_normal.png,friend,meda_women,Asia_Foundation,815,https://t.co/C2EQFOxqUS
Mon Jun 11 13:55:52 +0000 2012,Creative Associates International is a global development company working to support people around the world to realize the positive change they seek.,487,2268,1399,605521200,108,NA,Creative,http://pbs.twimg.com/profile_images/421067497987526656/wIOhBWoX_normal.jpeg,friend,1977Creative,Asia_Foundation,3457,http://t.co/crDwbAEnTS
Mon Mar 14 14:35:02 +0000 2016,CEO @GrameenFdn,3,106,14,709387364653789184,24,"Washington, DC",Steve Hollingworth,http://pbs.twimg.com/profile_images/709392981938323456/voeo69tD_normal.jpg,friend,SHollingworthGF,Asia_Foundation,222,https://t.co/okCM2jaclF
Thu Dec 16 16:45:07 +0000 2010,"Providing economic analysis and advice from data to decision around the world: litigation consulting, int'l development, infrastructure, industry analysis",53,504,356,227358460,38,"US, UK, India",Nathan Associates,http://pbs.twimg.com/profile_images/782983011402932224/jDMRbUP8_normal.jpg,friend,Nathan_Inc,Asia_Foundation,1183,http://t.co/YThaXRfpq5
Thu Jan 15 20:39:07 +0000 2009,John F. Kennedy School of Government at Harvard is the global leader in educating and empowering individuals committed to public service.,1912,62279,200,19037859,1535,"Cambridge, MA, USA",HarvardKennedySchool,http://pbs.twimg.com/profile_images/859407493017067520/G2Rv86q1_normal.jpg,friend,Kennedy_School,Asia_Foundation,11108,http://t.co/k2W3vrnr9K
Wed Sep 01 20:58:07 +0000 2010,Championing press freedom. Covering global issues. A weekly public TV/radio show on international affairs.,148,2094,755,185787165,100,"Columbia, Missouri, U.S.A.",Global Journalist,http://pbs.twimg.com/profile_images/465961045765263360/0QOn5OYB_normal.png,friend,globaljourn,Asia_Foundation,3255,http://t.co/9uQyLKjAh0
Tue Apr 01 23:59:50 +0000 2014,"The @WorldBank initiative to support civil society, and public and private sectors to work together to solve critical governance challenges. #socialacc",221,1455,472,2422843933,77,Washington D.C. ,GPSA,http://pbs.twimg.com/profile_images/744907257545121792/T96WQ1kG_normal.jpg,friend,GPSA_org,Asia_Foundation,1138,http://t.co/Igz4tEK5k7
Wed May 21 19:06:14 +0000 2014,High Commission of Canada to Sri Lanka and Maldives - Français @HCCanSriLanka https://t.co/G4YumVZMDf,2451,3874,913,2513402306,86,"Colombo, Sri Lanka",Canada in Sri Lanka,http://pbs.twimg.com/profile_images/555813394339467265/swmrESLv_normal.jpeg,friend,CanHCSriLanka,Asia_Foundation,4039,https://t.co/uupTV5uRRQ
